bundle,app_name,veredicto,aplicar,evidencia,fuente,revisado_por
com.tcl.livetv,Live TV,lineal,si,"Ficha de tienda: '300+ FAST channels for free' con EPG; no menciona VOD. En el dataset el catalogo es el mismo pool OTTera de MovieArk (73% peliculas IMDb): peliculas emitidas en canales programados.",https://play.google.com/store/apps/details?id=com.tcl.livetv,
com.coolita.channel,Coolita Channel,lineal,si,"Ficha: '400+ FAST channels... auto-play like traditional TV'; declara livestream=1 en el 100% de sus filas (consistente).",https://play.google.com/store/apps/details?id=com.coolita.channel,
tv.zeasn.whalelive,WhaleLive,mixto,no,"Zeasn: 'linear digital channels AND VOD'. Declara 1 en 99% pero no distinguible por fila.",https://whalelive.zeasn.tv/,
com.tcl.movieark,MovieArk: Stream Movies & Live,mixto,no,"Ficha: '3,000+ free movies... AND 200+ live channels' con EPG. VOD y lineal conviven; contentSeries=VOD marca algunas filas VOD.",https://play.google.com/store/apps/details?id=com.tcl.movieark,
com.tcl.waterfall.overseas,TCL CHANNEL,mixto,no,"Ficha: 'movies, TV shows, live channels'. FAST service de TCL con VOD.",https://www.tclchannel.com/,
com.tcl.browser,Browser TV Web - BrowseHere,desconocido,no,"Es un navegador web para TV ('stream movies... surf the web'): el contenido es lo que el usuario abra; modo de entrega indeterminable.",https://play.google.com/store/apps/details?id=com.tcl.browser,
151908,The Roku Channel,mixto,no,"VOD + live channels; ademas manda titulos placeholder (epg/roku), poca base para inferir.",,
com.tubitv,Tubi: Free Movies & Live TV,mixto,no,"El nombre mismo: 'Free Movies & Live TV'. VOD dominante con seccion lineal.",,
41468,Tubi - Free Movies & TV,mixto,no,"Variante Roku de Tubi.",,
com.univision.prendetv,"ViX: TV, Sports and News",mixto,no,"ViX: VOD + canales en vivo (las estrellas/canal 5 aparecen como titulos lineales).",,
552828,"ViX: TV, Deportes y Noticias",mixto,no,"Variante Roku de ViX.",,
g20329015921,ViX: Cine y TV Gratis en Español,mixto,no,"Variante Samsung de ViX.",,
1167028,ViX: Cine y TV en Español,mixto,no,"Variante ViX.",,
tv.vidaa.ui.apps.vix,Vidaa,mixto,no,"ViX embebido en Vidaa/Hisense.",,
g15147002586,SAMSUNG TV PLUS,mixto,no,"Samsung TV Plus: FAST lineal + VOD.",,
com.seraphic.metaxplay,Metax TV - Live TV & Movies,mixto,no,"El nombre: 'Live TV & Movies'; contentSeries=VOD en 3.9% de filas.",,
