Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Roku - oRTB,Mexico,Not Applicable,"adventure,action,crime,thriller","[IAB1-5, IAB1-7, IAB11, IAB12]","Movies | Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,171526720,"[325, 331]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1],2,2,interna,
Vidaa,Mexico,lo que la vida me robo,drama,[IAB12],News,externa,contradice,vertical:noticias,tt3223004,tvSeries,"Drama,Romance",A,coincide,,124138480,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Roku - oRTB,Mexico,roku,action,"[IAB1-5, IAB1-7, IAB11, IAB12]","Movies | Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,118526560,[325],Movies > Action and Adventure Movies,[IAB1],2,2,interna,
Vidaa,Mexico,mi corazon es tuyo,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt3825904,tvSeries,"Comedy,Romance",A,coincide,,71079120,"[646, 642]",Television > Comedy TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,la fea mas bella,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt0497152,tvSeries,"Comedy,Drama,Romance",A,coincide,,59205040,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,amores verdaderos,drama,[IAB12],News,externa,contradice,vertical:noticias,tt2320524,tvSeries,"Drama,Romance",A,coincide,,57384400,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,las estrellas,drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,46269680,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,la rosa de guadalupe,drama,[IAB12],News,externa,contradice,vertical:noticias,tt1192302,tvSeries,Drama,A,coincide,,44702080,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,destilando amor,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0940629,tvSeries,Drama,A,coincide,,43177520,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,rubi 2005,drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,37869280,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,corazon indomable,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0108451,movie,"Drama,Romance",B,coincide,,34597600,"[333, 326, 330]",Movies > Drama Movies | Movies > Romance Movies | Movies > Comedy Movies,[IAB1-5],1,3,externa,imdb
Vidaa,Mexico,jajaja,comedy,[IAB1-7],Television,externa,contradice,forma:tv!=pelicula,tt1452626,movie,"Comedy,Drama,Romance",A,coincide,,32057840,"[330, 333, 326]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
Vidaa,Mexico,porque el amor manda,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt2401754,tvSeries,"Comedy,Drama",A,coincide,,30015040,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,la vecina,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt4696338,tvSeries,"Comedy,Drama,Romance",A,coincide,,29383120,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,hasta que el dinero nos separe,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt0815736,tvSeries,"Comedy,Drama,Romance",B,coincide,,26532160,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,soy tu duena,drama,[IAB12],News,externa,contradice,vertical:noticias,tt1630269,tvSeries,"Drama,Romance",B,coincide,,26277600,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,rebelde hd,drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,25891760,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,fuego en la sangre,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0117005,video,Drama,B,coincide,,25703600,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,externa,
