Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Roku - oRTB,Mexico,Not Applicable,Drama,[IAB1-7],Television,interna,compatible,generico,,,,,no_comparable,,206680400,[647],Television > Drama TV,[IAB1-7],2,3,interna,declarado
Roku - oRTB,Mexico,Not Applicable,Game Show,[IAB1-7],Television,interna,coincide,,,,,,no_comparable,,69562240,,,,2,2,interna,declarado
Televisa Univision via SpringServe,Mexico,Not Applicable,Soap-Opera,[-7],,,,,,,,,no_comparable,,55683840,,,[IAB1],0,0,ninguna,
Televisa Univision via SpringServe,Mexico,soy tu duena,drama,[-7],,,,,tt1630269,tvSeries,"Drama,Romance",B,coincide,,47397920,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],0,3,externa,imdb
Televisa Univision via SpringServe,Mexico,tudn,soccer,[-7],,,,,,,,,no_comparable,,29841840,[533],Sports > Soccer,[IAB17-44],0,2,interna,
TCL ADS - Springserve,Chile,Not Applicable,Not Applicable,[-7],,,,,,,,,no_comparable,,25367680,,,[IAB1],0,0,ninguna,
Roku - oRTB,Mexico,roku,Drama,[IAB1-7],Television,interna,compatible,generico,,,,,no_comparable,,18413920,[647],Television > Drama TV,[IAB1-7],2,3,interna,declarado
Roku - oRTB,Mexico,Not Applicable,drama,"[IAB1-5, IAB1-7]",Movies | Television,interna,compatible,forma_ambigua,,,,,no_comparable,,16296960,,,,2,2,interna,
iion Pty Ltd,Colombia,the nevadan,western,[-7],,,,,tt0042782,movie,Western,A,coincide,,12889600,[324],Movies,[IAB1-5],0,2,externa,imdb
Roku - oRTB,Mexico,Not Applicable,Not Applicable,"[IAB1-7, IAB11, IAB12]","Television | Law, Gov't & Politics | News",ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,9723040,,,,2,2,serie,contentSeries
iion Pty Ltd,Mexico,eve,Horror,[-7],,,,,tt6189372,movie,"Drama,Thriller",B,no_coincide,,8267360,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Argentina,fish the dish,Reality,[-7],,,,,tt6408230,tvSeries,Reality-TV,A,coincide,,7515840,[651],Television > Reality TV,[IAB1-7],0,3,externa,imdb
Televisa Univision via OB,Mexico,Not Applicable,Sports,[-7],,,,,,,,,no_comparable,,5999760,[483],Sports,[IAB17],0,1,interna,
OTTera.tv,Mexico,brooklyn love stories,"romance,drama",[IAB1],Arts & Entertainment,externa,compatible,generico,tt7038246,movie,"Drama,Romance",A,coincide,,5869760,"[333, 326]",Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],1,3,externa,imdb
OTTera.tv,Argentina,lady belladonna's night shades_trailer,"horror,comedy",[-7],,,,,,,,,no_comparable,,5485280,"[330, 646, 336]",Movies > Comedy Movies | Television > Comedy TV | Movies > Horror Movies,[IAB1],0,2,interna,
METAX SOFTWARE PTE. LTD. (Exchange),Uruguay,best mountains views,outdoors,[IAB17],Sports,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,vertical,5290080,,,,1,1,ninguna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,el manantial,Drama,[-7],,,,,tt0041386,movie,"Drama,Romance",B,coincide,,5043040,"[333, 326]",Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Mexico,haus of horror,Horror,[-7],,,,,tt13840526,tvMiniSeries,"Comedy,Horror",A,coincide,,4397280,[646],Television > Comedy TV,[IAB1-7],0,3,externa,imdb
iion Pty Ltd,Mexico,howling village,Horror,[-7],,,,,tt10919074,movie,"Horror,Mystery,Thriller",A,coincide,,4364000,"[336, 331]",Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
"VGI CTV, Inc APAC",Mexico,mi corazon es tuyo,comedy,[-7],,,,,tt3825904,tvSeries,"Comedy,Romance",A,coincide,,4312320,"[646, 642]",Television > Comedy TV | Television > Soap Opera TV,[IAB1-7],0,3,externa,imdb
iion Pty Ltd,Argentina,yoyo season 1,"adventure,kids",[-7],,,,,tt0059934,movie,"Comedy,Drama,Family",B,coincide,,3577760,"[646, 647, 645]",Television > Comedy TV | Television > Drama TV | Television > Children's TV,[IAB1-7],0,3,externa,titulo
