Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,lo que la vida me robo,drama,[IAB12],News,externa,contradice,vertical:noticias,tt3223004,tvSeries,"Drama,Romance",A,coincide,,413165600,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,mi corazon es tuyo,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt3825904,tvSeries,"Comedy,Romance",A,coincide,,243156320,"[646, 642]",Television > Comedy TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,amores verdaderos,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt2320524,tvSeries,"Drama,Romance",A,coincide,,186932640,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Roku - oRTB,Mexico,Not Applicable,"adventure,action,crime,thriller","[IAB1-5, IAB1-7, IAB11, IAB12]","Movies | Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,171526720,"[325, 331]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1],2,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la fea mas bella,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt0497152,tvSeries,"Comedy,Drama,Romance",A,coincide,,168305760,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,rubi 2005,Drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,130365440,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Roku - oRTB,Mexico,roku,action,"[IAB1-5, IAB1-7, IAB11, IAB12]","Movies | Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,118526560,[325],Movies > Action and Adventure Movies,[IAB1],2,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,corazon indomable,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0108451,movie,"Drama,Romance",B,coincide,,111879520,"[333, 326, 330]",Movies > Drama Movies | Movies > Romance Movies | Movies > Comedy Movies,[IAB1-5],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la rosa de guadalupe,drama,[IAB12],News,externa,contradice,vertical:noticias,tt1192302,tvSeries,Drama,A,coincide,,104668960,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,soy tu duena,drama,[IAB12],News,externa,contradice,vertical:noticias,tt1630269,tvSeries,"Drama,Romance",B,coincide,,87181280,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la que no podia amar,drama,[IAB12],News,externa,contradice,vertical:noticias,tt2012381,tvSeries,"Drama,Romance",A,coincide,,71121440,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la vecina,comedy,[IAB12],News,externa,contradice,vertical:noticias,tt4696338,tvSeries,"Comedy,Drama,Romance",A,coincide,,69790080,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,rebelde hd,drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,69100160,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,true beauty,drama,[IAB12],News,externa,contradice,vertical:noticias,tt13274038,tvSeries,"Comedy,Drama,Romance",B,coincide,,65384800,"[646, 647]",Television > Comedy TV | Television > Drama TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,amor real,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0341281,tvSeries,"Drama,Romance",B,coincide,,58539040,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,abismo de pasion,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0034946,movie,Drama,B,coincide,,57350720,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,sortilegio,drama,[IAB12],News,externa,contradice,vertical:noticias,tt1439031,tvSeries,"Drama,Romance",B,coincide,,49243200,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la gata,drama,[IAB12],News,externa,contradice,vertical:noticias,tt3596316,tvSeries,"Action,Drama,Family",B,coincide,,48147040,"[647, 645, 642]",Television > Drama TV | Television > Children's TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,manana es para siempre,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0039041,movie,"Drama,Romance,War",B,coincide,,48068480,"[333, 326, 325, 331]",Movies > Drama Movies | Movies > Romance Movies | Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],1,3,externa,imdb
Vidaa,Mexico,las estrellas,drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,46269680,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,destilando amor,drama,[IAB12],News,externa,contradice,vertical:noticias,tt0940629,tvSeries,Drama,A,coincide,vertical,43177520,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,cuando me enamoro se detiene el tiempo,drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,39057920,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,para volver a amar,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt1699171,tvSeries,Drama,A,coincide,,37084480,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,las hijas de la senora garcia,drama,[IAB12],News,externa,contradice,vertical:noticias,tt32872848,tvSeries,Drama,A,coincide,,32350400,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Vidaa,Mexico,jajaja,comedy,[IAB1-7],Television,externa,contradice,forma:tv!=pelicula,tt1452626,movie,"Comedy,Drama,Romance",A,coincide,forma,32057840,"[330, 333, 326]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
