Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
iion Pty Ltd,Colombia,drive thru history season 4,33673200,tt1281983,tvSeries,"Documentary,Family,History",A,,Not Available,serie,titulo,drive thru history,4,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,un refugio para el amor,19269280,tt2186523,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,un refugio para el amor,,
iion Pty Ltd,Argentina,bubba's world,12913600,tt1572209,tvSeries,Reality-TV,B,,Not Available,serie,imdb,bubba's world,,
iion Pty Ltd,Argentina,super abby season 1,11461920,,,,,,Not Available,serie,titulo,super abby,1,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,las tontas no van al cielo,11040960,tt1149586,tvSeries,"Comedy,Romance",A,telenovela,Not Available,serie,imdb,las tontas no van al cielo,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,a que no me dejas,9737280,tt4872292,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,a que no me dejas,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,la familia p luche,9600960,tt1244672,tvSeries,Comedy,A,,Not Available,serie,imdb,la familia p luche,,
AWG Media,Mexico,nfl,7761600,tt38908320,tvSeries,Sport,A,,Not Available,serie,imdb,nfl,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,cuidado con el angel,6925760,tt1245565,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,cuidado con el angel,,
OTTera.tv,Peru,los archivos del fbi temporada 2,6594480,,,,,,Not Available,serie,titulo,los archivos del fbi,2,
Vidaa  APAC Hisense Headquarter,Mexico,amores verdaderos,5712800,tt2320524,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,amores verdaderos,,
TCL ADs (APAC),Ecuador,lola & virginia  season 1,4485120,tt1166121,tvSeries,"Animation,Family",A,comedia,Not Available,serie,titulo,lola & virginia,1,
TCL ADs (APAC),Mexico,grandes parejas,4415200,,,,,,Not Available,serie,intra_titulo,Curro Jiménez,,
Televisa Univision via SpringServe,Mexico,amores verdaderos,3771120,tt2320524,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,amores verdaderos,,
OTTera.tv,Peru,chai chai season 1,3612240,tt6443382,tvSeries,Animation,C,,Not Available,serie,titulo,chai chai,1,
OTTera.tv,Colombia,dread the unsolved,3212800,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,por siempre joan sebastian,2672800,tt5518674,tvSeries,Drama,A,,Not Available,serie,imdb,por siempre joan sebastian,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la gata,2339600,tt3596316,tvSeries,"Action,Drama,Family",B,telenovela,Not Available,serie,imdb,la gata,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la picara sonadora,2012480,tt44772778,tvSeries,"Comedy,Romance",B,,Not Available,serie,imdb,la picara sonadora,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,al diablo con los guapos,1848640,tt1132292,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,al diablo con los guapos,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,amores con trampa,1725440,tt4469514,tvSeries,"Comedy,Romance",A,telenovela,Not Available,serie,imdb,amores con trampa,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,una familia de diez,1389200,tt0996011,tvSeries,"Comedy,Family,Romance",A,,Not Available,serie,imdb,una familia de diez,,
Televisa Univision via SpringServe,Mexico,un refugio para el amor,1154560,tt2186523,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,un refugio para el amor,,
OTTera.tv,Mexico,amor bajo la luz de la luna,1149440,,,,,,Not Available,serie,intra_titulo,Amor Bajo la Luz de la Luna,,
OTTera.tv,Mexico,amor%20bajo%20la%20luz%20de%20la%20luna,1081280,,,,,,Not Available,serie,intra_titulo,Amor Bajo la Luz de la Luna,,
iion Pty Ltd,Argentina,yoyo season 1,1027520,tt0059934,movie,"Comedy,Drama,Family",B,,Not Available,serie,titulo,yoyo,1,
iion Pty Ltd,Mexico,chronic%20horror,1026240,tt13415674,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,chronic%20horror,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,tres veces ana,940160,tt5378734,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,tres veces ana,,
PML Digital,Argentina,chicken stew season 7,903360,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,7,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,las vias del amor,765440,tt0337742,tvSeries,"Crime,Drama,Romance",A,telenovela,Not Available,serie,imdb,las vias del amor,,
OTTera.tv,Mexico,chronic horror,749920,tt13415674,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,chronic horror,,
Vidaa,Argentina,jajaja,741760,tt1452626,movie,"Comedy,Drama,Romance",A,,Not Available,serie,intra_titulo,JAJAJA,,
Televisa Univision via SpringServe,Mexico,40 y 20,739680,tt5711512,tvSeries,Comedy,A,,Not Available,serie,imdb,40 y 20,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,una familia con suerte,727040,tt1853455,tvSeries,"Comedy,Drama,Family",A,telenovela,Not Available,serie,imdb,una familia con suerte,,
Vidaa  APAC Hisense Headquarter,Guatemala,lo que la vida me robo,714960,tt3223004,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,lo que la vida me robo,,
Vidaa,Mexico,vivan los ninos,693840,tt0331806,tvSeries,"Drama,Family",B,telenovela,Not Available,serie,imdb,vivan los ninos,,
PML Digital,Argentina,babybus canciones infantiles - temporada 8,656480,,,,,,Not Available,serie,titulo,babybus canciones infantiles,8,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,maria belen,633280,tt0279571,tvSeries,"Drama,Family,Romance",A,telenovela,Not Available,serie,imdb,maria belen,,
OTTera.tv,Chile,chronic horror,611520,tt13415674,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,chronic horror,,
TCL ADS - Springserve,Mexico,dread the unsolved,595840,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
OTTera.tv,Argentina,notorious,577760,tt5519574,tvSeries,"Drama,Thriller",B,,Not Available,serie,imdb,notorious,,
Vidaa  APAC Hisense Headquarter,Mexico,tres veces ana,548320,tt5378734,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,tres veces ana,,
Vidaa,Mexico,el clon,544720,tt0289800,tvSeries,"Drama,Romance,Sci-Fi",B,telenovela,Not Available,serie,imdb,el clon,,
iion Pty Ltd,Argentina,real stories with christ - season three,542240,,,,,,Not Available,serie,titulo,real stories with christ,,
iion Pty Ltd,Mexico,overwatch 2 - official season 16: stadium trailer,536960,,,,,,Not Available,serie,titulo,overwatch 2 - official,16,
OTTera.tv,Argentina,día cero,532480,tt23872886,tvMiniSeries,"Drama,Thriller",B,,Not Available,serie,imdb,día cero,,
Televisa Univision via SpringServe,Mexico,disenando tu amor,531520,tt14371354,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,disenando tu amor,,
OTTera.tv,Mexico,chicken stew season 6,530880,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,6,
PML Digital,Chile,breathe,505920,tt6466208,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,breathe,,
OTTera.tv,Mexico,the baddest bad boy,444960,tt13840630,tvMiniSeries,Comedy,A,,Not Available,serie,imdb,the baddest bad boy,,
Vidaa  APAC Hisense Headquarter,Mexico,sortilegio,427920,tt1439031,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,sortilegio,,
OTTera.tv,Panama,northwest passage: trailer,421280,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
TCL ADS - Springserve,Chile,haus of horror,420000,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
Televisa Univision via SpringServe,Mexico,gina yei,414880,tt15539452,tvSeries,"Comedy,Drama,Musical",A,,Not Available,serie,imdb,gina yei,,
TCL ADS - Springserve,Mexico,notorious: trailer,398720,tt5519574,tvSeries,"Drama,Thriller",B,,Not Available,serie,imdb,notorious,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,hasta que el dinero nos separe,389280,tt0815736,tvSeries,"Comedy,Drama,Romance",B,telenovela,Not Available,serie,imdb,hasta que el dinero nos separe,,
