Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentGenre_relleno,gen_declarados,gen_detalle,gen_propuesta
TCL ADS - Springserve,Argentina,formentera,59702160,tt1990232,movie,Drama,A,,Documentary,documental,documental!=drama,drama
OTTera.tv,Mexico,tennis+,30324000,tt2281489,short,"Comedy,Drama,Sci-Fi",B,,sports,deportes,"deportes!=comedia,drama,sci-fi","comedia,drama,sci-fi"
TCL ADS - Springserve,Argentina,machotaildrop,15271920,tt1315388,movie,"Action,Comedy,Fantasy",A,,Sports,deportes,"deportes!=accion-aventura,comedia,fantasia","accion,comedia,fantasia"
OTTera.tv,Mexico,penance lane,14728480,tt1964995,movie,Horror,A,,Drama,drama,drama!=terror,terror
OTTera.tv,Mexico,rollers: trailer,14696640,tt9124868,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
TCL ADS - Springserve,Argentina,the secret handshake,12543120,tt3519936,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Peru,crack,10295280,tt4424356,short,"Comedy,Crime,Drama",B,,Documentary,documental,"documental!=comedia,crimen-misterio,drama","comedia,crimen,drama"
"Coocaa, a SKYWORTH company",Argentina,beat monday,5994240,tt13584880,tvMiniSeries,Reality-TV,A,,Adventure,aventura,accion-aventura!=reality,reality
"Coocaa, a SKYWORTH company",Argentina,adam jones,5934240,tt2503944,movie,"Comedy,Drama",A,,Sports,deportes,"deportes!=comedia,drama","comedia,drama"
"Coocaa, a SKYWORTH company",Argentina,for my man,5933280,tt4864850,tvSeries,Crime,B,,Documentary,documental,documental!=crimen-misterio,crimen
"Coocaa, a SKYWORTH company",Argentina,the breakfast club,5912640,tt0088847,movie,"Comedy,Drama",B,infantil-familia,Reality,reality,"reality!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
"Coocaa, a SKYWORTH company",Argentina,shifting gears,5858080,tt31614348,tvSeries,Comedy,B,,sports & games,deportes;videojuegos,deportes!=comedia,"videojuegos,comedia"
OTTera.tv,Mexico,lost in the maze,5638080,tt29602142,movie,Documentary,A,,Adventure,aventura,accion-aventura!=documental,documental
OTTera.tv,Mexico,the buddy cop,5635360,tt20412912,movie,Comedy,A,,Action,accion,accion-aventura!=comedia,comedia
TCL ADS - Springserve,Argentina,grumpy grannies,4031040,tt19306948,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,sin's kitchen: trailer,3606080,tt0203912,movie,Drama,A,,"adventure,mystery",aventura;misterio,accion-aventura!=drama,"misterio,drama"
LG Ads EMEA - SS,Mexico,entertainment,3476480,tt8005846,short,"Drama,Musical,Short",B,,Local News,noticias,"noticias!=drama,musica","drama,musica"
"Coocaa, a SKYWORTH company",Argentina,meet the drapers season 8. episode 1,3327520,tt8300760,tvSeries,Reality-TV,A,,News,noticias,noticias!=reality,reality
OTTera.tv,Colombia,we three kings,2719360,tt13091334,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
Televisa Univision via SpringServe,Mexico,la rosa de guadalupe,2369040,tt1192302,tvSeries,Drama,A,telenovela,news,noticias,"noticias!=drama,telenovela","drama,telenovela"
OTTera.tv,Peru,13 score: trailer,2186400,tt3168890,movie,Horror,A,,Action,accion,accion-aventura!=terror,terror
OTTera.tv,Mexico,stray,2098880,tt11905922,movie,Documentary,B,,Drama,drama,drama!=documental,documental
OTTera.tv,Mexico,friends only,2076320,tt15680876,movie,"Drama,Romance",A,,Family,infantil-familia,"infantil-familia!=drama,romance","drama,romance"
OTTera.tv,Mexico,7 years,2074400,tt5517438,movie,Drama,B,,Horror,terror,terror!=drama,drama
OTTera.tv,Mexico,displaced,2041280,tt14717664,short,"Drama,Short",B,documental,Family,infantil-familia,"infantil-familia!=documental,drama","drama,documental"
OTTera.tv,Mexico,amityville: it's about time: trailer,1838240,tt0103678,video,Horror,A,,Action,accion,accion-aventura!=terror,terror
iion Pty Ltd,Mexico,rock band,1796960,tt2756040,movie,"Comedy,Music",B,,Drama,drama,"drama!=comedia,musica","comedia,musica"
iion Pty Ltd,Mexico,softness of bodies,1769440,tt6924682,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,craig's pathetic freakout,1647040,tt12115180,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
