Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
TCL ADs (APAC),Ecuador,animacars season 2,3872160,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
METAX SOFTWARE PTE. LTD. (Exchange),Colombia,animacars season 2,1458720,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
TCL ADS - Springserve,Argentina,real stories with christ - season three,775520,,,,,,,serie,titulo,real stories with christ,,
OTTera.tv,Argentina,kelsi davies: season 1,684960,,,,,,,serie,titulo,kelsi davies,1,
TCL ADs (APAC),Mexico,andor: season 2 - official 'win' teaser trailer,596640,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
iion Pty Ltd,Argentina,babybus canciones infantiles - temporada 8,588000,,,,,,,serie,titulo,babybus canciones infantiles,8,
Select Plus PTE LTD (CTV),Mexico,the sandman: season 2 - official date announcement teaser trailer,510080,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,,serie,titulo,the sandman,2,
TCL ADS - Springserve,Argentina,real stories with christ - season three,446880,,,,,,,serie,titulo,real stories with christ,,
TCL ADS - Springserve,Argentina,american hidden story season 1,431040,,,,,,,serie,titulo,american hidden story,1,
OTTera.tv,Chile,overwatch 2 - official season 16: stadium trailer,329440,,,,,,,serie,titulo,overwatch 2 - official,16,
OTTera.tv,Peru,andor: season 2 - official stealing the tie fighter clip,326880,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
iion Pty Ltd,Chile,overwatch 2 - official season 16: stadium trailer,281440,,,,,,,serie,titulo,overwatch 2 - official,16,
METAX SOFTWARE PTE. LTD. (Exchange),Ecuador,babybus canciones infantiles - temporada 6,247200,,,,,,,serie,titulo,babybus canciones infantiles,6,
Select Plus PTE LTD (CTV),Argentina,overwatch 2 - official season 16: stadium trailer,213600,,,,,,,serie,titulo,overwatch 2 - official,16,
TCL ADs (APAC),Peru,real stories with christ - season three,197280,,,,,,,serie,titulo,real stories with christ,,
Kivi via Springserve,Mexico,forest frenzy of boonie bears season 3,185040,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
iion Pty Ltd,Argentina,american hidden story season 2,166560,,,,,,,serie,titulo,american hidden story,2,
TCL ADS - Springserve,Dominican Republic,andor: season 2 - official 'win' teaser trailer,156480,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
OTTera.tv,Argentina,shark academy original songs season 1,148800,,,,,,,serie,titulo,shark academy original songs,1,
iion Pty Ltd,Argentina,animacars season 2,133760,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
OTTera.tv,Colombia,forest frenzy of boonie bears season 1,120480,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
iion Pty Ltd,Mexico,beadies lullabies season 1,115680,,,,,,,serie,titulo,beadies lullabies,1,
iion Pty Ltd,Mexico,future chicken - shorts season 1,111840,,,,,,,serie,titulo,future chicken - shorts,1,
TCL ADS - Springserve,Mexico,forest frenzy of boonie bears season 4,111040,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
OTTera.tv,Argentina,dutch season 2,105840,tt0101786,movie,"Comedy,Drama",B,,,serie,titulo,dutch,2,
TCL ADS - Springserve,Mexico,e2:  path of no return,103360,tt31797283,short,"Drama,Short",C,,,serie,titulo,path of no return,,2
iion Pty Ltd,Colombia,real stories with christ - season three,102880,,,,,,,serie,titulo,real stories with christ,,
OTTera.tv,Chile,spy penguin season 1,91040,tt11328836,tvMiniSeries,Animation,C,,VOD,serie,titulo,spy penguin,1,
OTTera.tv,Dominican Republic,forest frenzy of boonie bears season 4,89280,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
OTTera.tv,Mexico,the supers season 1,88800,tt7493770,movie,"Action,Adventure,Comedy",B,,,serie,titulo,the supers,1,
iion Pty Ltd,Peru,animacars season 2,88560,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
TCL ADs (APAC),Mexico,troy the train season 1,88480,,,,,,,serie,titulo,troy the train,1,
TCL ADS - Springserve,Argentina,find the hidden object: season 16,85920,,,,,,,serie,titulo,find the hidden object,16,
OTTera.tv,Mexico,lmn's season 1,85600,,,,,,,serie,titulo,lmn's,1,
TCL ADS - Springserve,Argentina,howzzattt- cricket miracles season 1,84640,,,,,,,serie,titulo,howzzattt- cricket miracles,1,
iion Pty Ltd,Colombia,thrillbillies,83200,tt1500999,tvSeries,Sport,B,,VOD,serie,imdb,thrillbillies,,
OTTera.tv,Venezuela,htdt season 1,82240,tt10375732,tvSeries,,C,,,serie,titulo,htdt,1,
Aluna Limited,Argentina,the sandman: season 2 - official date announcement teaser trailer,79920,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,,serie,titulo,the sandman,2,
Select Plus PTE LTD (CTV),Mexico,elina and the enchanted forest season 1,78720,,,,,,,serie,titulo,elina and the enchanted forest,1,
TCL ADs (APAC),Colombia,overwatch 2 - official season 16: stadium trailer,76000,,,,,,,serie,titulo,overwatch 2 - official,16,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,season of the witch,74720,tt0070379,movie,"Crime,Drama,Thriller",B,romance,,serie,titulo,season of the witch,,
iion Pty Ltd,Colombia,the wawies season 1,73440,tt35661072,tvSeries,Animation,C,,,serie,titulo,the wawies,1,
OTTera.tv,Chile,super truck season 2,71680,,,,,,,serie,titulo,super truck,2,
iion Pty Ltd,Mexico,e8. the astronauts,71360,tt11947264,tvSeries,"Action,Adventure,Drama",D,,,serie,titulo,the astronauts,,8
iion Pty Ltd,Mexico,e6. the sun,69760,tt0439817,movie,"Drama,History",B,,,serie,titulo,the sun,,6
OTTera.tv,Uruguay,beadies songs season 1,69440,,,,,,,serie,titulo,beadies songs,1,
OTTera.tv,Mexico,super police barry（english) season 1,66080,,,,,,,serie,titulo,super police barry（english),1,
OTTera.tv,Colombia,animacars season 1,65280,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,1,
TCL ADs (APAC),Dominican Republic,the sandman: season 2 - official date announcement teaser trailer,64800,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,,serie,titulo,the sandman,2,
TCL ADS - Springserve,Mexico,learning with animacars season 1,64800,,,,,,,serie,titulo,learning with animacars,1,
OTTera.tv,Colombia,tom's garage season 1,64000,tt0105617,movie,,C,,,serie,titulo,tom's garage,1,
iion Pty Ltd,Argentina,spy penguin season 1,63840,tt11328836,tvMiniSeries,Animation,C,,,serie,titulo,spy penguin,1,
OTTera.tv,Colombia,super truck season 2,63680,,,,,,,serie,titulo,super truck,2,
OTTera.tv,Costa Rica,forest frenzy of boonie bears season 1,63520,,,,,,,serie,titulo,forest frenzy of boonie bears,1,
OTTera.tv,Chile,tom's paint shop season 1,62880,,,,,,,serie,titulo,tom's paint shop,1,
iion Pty Ltd,Argentina,andor: season 2 - official 'win' teaser trailer,62560,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
