Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Roku - oRTB,Mexico,Not Applicable,Entertainment,"[IAB1-5, IAB1-7, IAB11, IAB12]","Movies | Television | Law, Gov't & Politics | News",ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,216452960,,,,2,2,ninguna,
TCL ADS - Springserve,Argentina,saffron b&b,Lifestyle,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,72612240,,,,1,1,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,nina amada mia,Drama,[IAB1-7],Television,externa,coincide,,tt0368528,tvSeries,"Drama,Romance",A,coincide,,59046720,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],2,3,externa,imdb
TCL ADS - Springserve,Argentina,bubba's world,Reality,[IAB1-7],Television,externa,coincide,,tt1572209,tvSeries,Reality-TV,B,coincide,,49764000,[651],Television > Reality TV,[IAB1-7],2,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,vivan los ninos,Drama,[IAB1-7],Television,externa,coincide,,tt0331806,tvSeries,"Drama,Family",B,coincide,,30733600,"[647, 645, 642]",Television > Drama TV | Television > Children's TV | Television > Soap Opera TV,[IAB1-7],2,3,externa,imdb
iion Pty Ltd,Argentina,buffalo air,Documentary,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,25920160,"[332, 648]",Movies > Documentary Movies | Television > Factual TV,[IAB1],1,2,interna,
iion Pty Ltd,Mexico,corona: trailer,Drama,[IAB1-5],Movies,externa,coincide,,tt11766262,movie,"Drama,Thriller",B,coincide,,19080320,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],2,3,externa,imdb
Televisa Univision via OB,Mexico,Not Applicable,Not Applicable,,,,,,,,,,no_comparable,,17015520,,,[IAB1],0,0,ninguna,
TCL ADs (APAC),Chile,world poker tour espanol,Game Show,[IAB1-22],Arts & Entertainment (tier 2 inexistente),interna,compatible,generico,,,,,no_comparable,,13454560,[640],Television,[IAB1-7],1,2,interna,genero
"Coocaa, a SKYWORTH company",Argentina,ep 42 live and kicking,Animation,"[IAB1-7, IAB17-12]",Television | Football,interna,compatible,generico,,,,,no_comparable,,10453120,[641],Television > Animation TV,[IAB1-7],2,3,interna,contentSeries
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,marimar,drama,[IAB1-7],Television,externa,coincide,,tt0130410,tvSeries,"Drama,Romance",B,coincide,,9922400,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],2,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,amar a muerte,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt8682608,tvSeries,Drama,A,coincide,,8214080,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
TCL ADs (APAC),Argentina,dread the unsolved,"horror,mystery",[IAB1-7],Television,externa,coincide,,tt13415912,tvMiniSeries,"Horror,Mystery",A,coincide,,6721440,,,,2,2,externa,imdb
iion Pty Ltd,Mexico,brooklyn love stories,Romance,[IAB1-5],Movies,externa,coincide,,tt7038246,movie,"Drama,Romance",A,coincide,,5865440,"[333, 326]",Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Mexico,la flamme rouge,Horror,[IAB1],Arts & Entertainment,externa,compatible,generico,tt10298870,movie,"Crime,Drama,Thriller",A,no_coincide,,5549760,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
iion Pty Ltd,Peru,rider,Not Applicable,[IAB9-30],Video & Computer Games,ninguna,no_evaluable,sin_evidencia,tt4215810,movie,Thriller,D,no_comparable,,5354720,,,,1,1,ninguna,
Televisa Univision via SpringServe,Mexico,corazon indomable,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0108451,movie,"Drama,Romance",B,coincide,,5099040,"[333, 326, 330]",Movies > Drama Movies | Movies > Romance Movies | Movies > Comedy Movies,[IAB1-5],1,3,externa,imdb
PML Digital,Chile,scandaleux horror nouvelle_trailer,Horror,[sports],sports,interna,contradice,vertical:deportes,,,,,no_comparable,,4550560,[336],Movies > Horror Movies,[IAB1],1,2,interna,
Televisa Univision via SpringServe,Mexico,n guadalajara,news,[IAB12],News,interna,coincide,,,,,,no_comparable,,4501680,,,,1,1,interna,
TCL ADs (APAC),Ecuador,dw español,News,[IAB12],News,interna,coincide,,,,,,no_comparable,,4458240,,,,1,1,interna,
PML Digital,Argentina,mark of the witch,Horror,[sports],sports,externa,contradice,vertical:deportes,tt3233972,movie,"Fantasy,Horror,Sci-Fi",B,coincide,vertical,4020000,"[335, 336, 327]",Movies > Fantasy Movies | Movies > Horror Movies | Movies > Science Fiction Movies,[IAB1-5],1,3,externa,imdb
