Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
iion Pty Ltd,Argentina,super abby season 1,6447600,,,,,,,serie,titulo,super abby,1,
iion Pty Ltd,Peru,american hidden story season 1,3930240,,,,,,,serie,titulo,american hidden story,1,
TCL ADs (APAC),Ecuador,babybus canciones infantiles - temporada 6,2676240,,,,,,,serie,titulo,babybus canciones infantiles,6,
iion Pty Ltd,Peru,vitaminix season 1,1651840,tt6469326,tvSeries,"Animation,Documentary,Family",C,,,serie,titulo,vitaminix,1,
Select Plus PTE LTD (CTV),Mexico,andor: season 2 - official 'win' teaser trailer,1010880,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
TCL ADS - Springserve,Argentina,los cuentos de lupin (temporada 1),876960,tt13822590,tvMiniSeries,Animation,C,,,serie,titulo,los cuentos de lupin,1,
iion Pty Ltd,Argentina,american hidden story season 1,751440,,,,,,,serie,titulo,american hidden story,1,
TCL ADS - Springserve,Argentina,forest frenzy of boonie bears season 2,740640,,,,,,,serie,titulo,forest frenzy of boonie bears,2,
TCL ADS - Springserve,Chile,the sandman: season 2 - official date announcement teaser trailer,615200,tt1751634,tvSeries,"Drama,Fantasy,Horror",D,,,serie,titulo,the sandman,2,
OTTera.tv,Colombia,andor: season 2 - official stealing the tie fighter clip,548640,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
iion Pty Ltd,Argentina,animacars season 2,533760,tt10051414,tvSeries,Animation,C,,,serie,titulo,animacars,2,
OTTera.tv,Mexico,future chicken - music videos season 2,400640,,,,,,,serie,titulo,future chicken - music videos,2,
OTTera.tv,Argentina,super abby season 1,399840,,,,,,,serie,titulo,super abby,1,
TCL ADs (APAC),Mexico,forest frenzy of boonie bears season 2,375040,,,,,,,serie,titulo,forest frenzy of boonie bears,2,
iion Pty Ltd,Peru,learning with animacars season 1,326880,,,,,,,serie,titulo,learning with animacars,1,
iion Pty Ltd,Mexico,sonic superstars season 1,278560,,,,,,,serie,titulo,sonic superstars,1,
OTTera.tv,Colombia,forest frenzy of boonie bears season 4,263040,,,,,,,serie,titulo,forest frenzy of boonie bears,4,
OTTera.tv,Argentina,la fiebre del jade: temporada 5,235680,,,,,,,serie,titulo,la fiebre del jade,5,
TCL ADS - Springserve,Argentina,los archivos del fbi temporada 4,220080,,,,,,,serie,titulo,los archivos del fbi,4,
OTTera.tv,Chile,andor: season 2 - official 'win' teaser trailer,215680,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,,serie,titulo,andor,2,
OTTera.tv,Mexico,purple devil season 1,204160,,,,,,,serie,titulo,purple devil,1,
Select Plus PTE LTD (CTV),Mexico,troy the train season 2,203200,,,,,,,serie,titulo,troy the train,2,
iion Pty Ltd,Colombia,shark academy stories season 1,174400,,,,,,,serie,titulo,shark academy stories,1,
TCL ADS - Springserve,Mexico,rookie robot season 1,172800,,,,,,,serie,titulo,rookie robot,1,
TCL ADS - Springserve,Argentina,bbc news,165600,tt0240256,tvSeries,News,B,,VOD,serie,imdb,bbc news,,
iion Pty Ltd,Argentina,los archivos del fbi temporada 2,153120,,,,,,,serie,titulo,los archivos del fbi,2,
OTTera.tv,Guatemala,real stories with christ - season three,146080,,,,,,,serie,titulo,real stories with christ,,
OTTera.tv,Ecuador,howzzattt- cricket miracles season 1,138720,,,,,,,serie,titulo,howzzattt- cricket miracles,1,
PML Digital,Chile,e2:  path of no return,138240,tt31797283,short,"Drama,Short",C,,,serie,titulo,path of no return,,2
OTTera.tv,Argentina,bibi workshop season 1,133120,,,,,,,serie,titulo,bibi workshop,1,
OTTera.tv,Mexico,om nom  season 1,130240,tt4643420,tvSeries,"Action,Adventure,Animation",C,,,serie,titulo,om nom,1,
TCL ADS - Springserve,Argentina,forest frenzy of boonie bears season 3,128640,,,,,,,serie,titulo,forest frenzy of boonie bears,3,
METAX SOFTWARE PTE. LTD. (Exchange),Peru,american hidden story season 1,124560,,,,,,,serie,titulo,american hidden story,1,
OTTera.tv,Mexico,gunnie season,116960,,,,,,,serie,titulo,gunnie season,,
TCL ADS - Springserve,Mexico,future chicken - today show season 2,108160,,,,,,,serie,titulo,future chicken - today show,2,
