Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Roku - oRTB,Mexico,Not Applicable,News,"[IAB1-7, IAB12-2]",Television | National News,interna,coincide,,,,,,no_comparable,,235146400,,,,2,2,interna,declarado
Roku - oRTB,Mexico,Not Applicable,Entertainment,[IAB1-6],Music,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,75552480,,,,1,1,ninguna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,lo que la vida me robo,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt3223004,tvSeries,"Drama,Romance",A,coincide,,61207440,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
OTTera.tv,Argentina,lucky fred season 1,Children,[IAB1-7],Television,interna,coincide,,tt2164295,tvSeries,"Action,Adventure,Animation",C,no_comparable,,51423840,[645],Television > Children's TV,[IAB1-7],2,3,interna,titulo
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,mi marido tiene mas familia,Drama,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,31605760,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Vidaa,Mexico,como dice el dicho,Drama,[IAB1-7],Television,externa,coincide,,tt1831897,tvSeries,"Comedy,Drama",A,coincide,,26306800,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],2,3,externa,imdb
Roku - oRTB,Mexico,Not Applicable,Soap-Opera,"[IAB1-5, IAB1-7]",Movies | Television,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,19702880,,,,2,2,serie,contentSeries
Vidaa,Mexico,rebelde hd,Drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,17236240,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
TCL ADs (APAC),Argentina,las primeras 72 horas tras el crimen,Documentary,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,13470000,"[332, 648]",Movies > Documentary Movies | Television > Factual TV,[IAB1],1,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,a que no me dejas,Drama,[IAB1-7],Television,externa,coincide,,tt4872292,tvSeries,Drama,A,coincide,,11897760,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],2,3,externa,imdb
