Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentGenre,gen_declarados,gen_detalle,gen_propuesta
TCL ADS - Springserve,Argentina,formentera,98578560,tt1990232,movie,Drama,A,,Documentary,documental,documental!=drama,drama
OTTera.tv,Argentina,a royal christmas on ice,71383200,tt19408396,tvMovie,"Comedy,Drama,Romance",A,,Documentary,documental,"documental!=comedia,drama,romance","comedia,drama,romance"
iion Pty Ltd,Colombia,dino the dinosaur season 1,58873440,tt7818384,tvSeries,"Animation,Family",A,,Adventure,aventura,"accion-aventura!=animacion,infantil-familia","animacion,infantil-familia"
OTTera.tv,Mexico,penance lane,43333920,tt1964995,movie,Horror,A,,Drama,drama,drama!=terror,terror
OTTera.tv,Mexico,rollers: trailer,43171520,tt9124868,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Argentina,the secret handshake,39041520,tt3519936,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,tennis+,28642880,tt2281489,short,"Comedy,Drama,Sci-Fi",B,,Sports,deportes,"deportes!=comedia,drama,sci-fi","comedia,drama,sci-fi"
OTTera.tv,Peru,crack,22110720,tt4424356,short,"Comedy,Crime,Drama",B,,Documentary,documental,"documental!=comedia,crimen-misterio,drama","comedia,crimen,drama"
OTTera.tv,Mexico,lost in the maze,16650880,tt29602142,movie,Documentary,A,,Adventure,aventura,accion-aventura!=documental,documental
OTTera.tv,Mexico,the buddy cop,16391200,tt20412912,movie,Comedy,A,,Action,accion,accion-aventura!=comedia,comedia
TCL ADS - Springserve,Argentina,machotaildrop,15272640,tt1315388,movie,"Action,Comedy,Fantasy",A,,Sports,deportes,"deportes!=accion-aventura,comedia,fantasia","accion,comedia,fantasia"
"Coocaa, a SKYWORTH company",Argentina,beat monday,12076320,tt13584880,tvMiniSeries,Reality-TV,A,,Adventure,aventura,accion-aventura!=reality,reality
"Coocaa, a SKYWORTH company",Argentina,adam jones,12054240,tt2503944,movie,"Comedy,Drama",A,,Sports,deportes,"deportes!=comedia,drama","comedia,drama"
"Coocaa, a SKYWORTH company",Argentina,the breakfast club,12032160,tt0088847,movie,"Comedy,Drama",B,infantil-familia,Reality,reality,"reality!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
"Coocaa, a SKYWORTH company",Argentina,for my man,12020640,tt4864850,tvSeries,Crime,B,,Documentary,documental,documental!=crimen-misterio,crimen
LG Ads EMEA - SS,Mexico,entertainment,7249200,tt8005846,short,"Drama,Musical,Short",B,,Local News,noticias,"noticias!=drama,musica","drama,musica"
"Coocaa, a SKYWORTH company",Argentina,meet the drapers season 8. episode 1,6769600,tt8300760,tvSeries,Reality-TV,A,,News,noticias,noticias!=reality,reality
"Coocaa, a SKYWORTH company",Argentina,shifting gears,6638880,tt31614348,tvSeries,Comedy,B,,Sports,deportes,deportes!=comedia,comedia
OTTera.tv,Mexico,stray,6157120,tt11905922,movie,Documentary,B,,Drama,drama,drama!=documental,documental
OTTera.tv,Colombia,we three kings,6146080,tt13091334,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,grumpy grannies,6128480,tt19306948,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,displaced,6114240,tt14717664,short,"Drama,Short",B,documental,Family,infantil-familia,"infantil-familia!=documental,drama","drama,documental"
OTTera.tv,Mexico,friends only,6084960,tt15680876,movie,"Drama,Romance",A,,Family,infantil-familia,"infantil-familia!=drama,romance","drama,romance"
OTTera.tv,Mexico,7 years,6066880,tt5517438,movie,Drama,B,,Horror,terror,terror!=drama,drama
OTTera.tv,Mexico,countryside,5539680,tt26933627,movie,Drama,B,,Horror,terror,terror!=drama,drama
OTTera.tv,Mexico,amityville: it's about time: trailer,5413120,tt0103678,video,Horror,A,,Action,accion,accion-aventura!=terror,terror
OTTera.tv,Mexico,sin's kitchen: trailer,5404000,tt0203912,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
OTTera.tv,Mexico,disturbed,5094400,tt0089881,movie,"Action,Drama,War",B,,Horror,terror,"terror!=accion-aventura,drama","accion,drama"
OTTera.tv,Mexico,a story for happy,4848320,tt3884392,short,"Drama,Short",A,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Mexico,craig's pathetic freakout,4845760,tt12115180,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,a reasonable request,4812960,tt4702552,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,brought to you by satan,4800160,tt10573278,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,bitter sky,4763680,tt11418166,short,"Drama,Short",A,,Adventure,aventura,accion-aventura!=drama,drama
OTTera.tv,Mexico,duck camp dinners season 2,4531040,tt35146256,tvSeries,Reality-TV,A,,Adventure,aventura,accion-aventura!=reality,reality
OTTera.tv,Mexico,hot rod girls save the world,4514400,tt1399564,video,Sci-Fi,A,,Drama,drama,drama!=sci-fi,sci-fi
OTTera.tv,Mexico,we're still together,4491840,tt3755228,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
OTTera.tv,Mexico,grudge race,4491680,tt6291472,tvSeries,Reality-TV,A,,Action,accion,accion-aventura!=reality,reality
OTTera.tv,Mexico,chonda pierce: enough,4436640,tt6247064,movie,Documentary,A,,Comedy,comedia,comedia!=documental,documental
OTTera.tv,Mexico,first impression,4411040,tt9203202,tvMovie,Comedy,B,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,bang or die,4406240,tt21926038,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Mexico,rock band,4403040,tt2756040,movie,"Comedy,Music",B,,Drama,drama,"drama!=comedia,musica","comedia,musica"
OTTera.tv,Mexico,should've put a ring on it,4395360,tt1941648,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,victory by submission,4388160,tt4624104,movie,"Drama,Sport",A,,Action,accion,"accion-aventura!=deportes,drama","drama,deportes"
OTTera.tv,Mexico,softness of bodies,4385440,tt6924682,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,only god can,4383840,tt3589144,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,worst roommate ever,4361760,tt5746464,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,the bigfoot diaries,4324960,tt1478440,movie,"Comedy,Documentary",A,,Horror,terror,"terror!=comedia,documental","comedia,documental"
OTTera.tv,Mexico,13 score,3532960,tt3168890,movie,Horror,A,,Action,accion,accion-aventura!=terror,terror
OTTera.tv,Argentina,cult film,2674320,tt8982658,short,"Comedy,Drama,Short",A,,Documentary,documental,"documental!=comedia,drama","comedia,drama"
OTTera.tv,Mexico,black snow,2272480,tt10515988,movie,"Horror,Mystery,Thriller",B,,Documentary,documental,"documental!=crimen-misterio,terror","terror,misterio"
OTTera.tv,Mexico,barking dogs,2173120,tt10443658,short,"Drama,Short",B,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Mexico,heavenquest: a pilgrim's progress,2140000,tt5167200,movie,"Action,Adventure,Fantasy",A,,Drama,drama,"drama!=accion-aventura,fantasia","accion,fantasia"
