Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
TCL ADS - Springserve,Argentina,chicken stew season 6,46733600,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,6,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,nfl,24044320,tt38908320,tvSeries,Sport,A,,Not Available,serie,imdb,nfl,,
Televisa Univision via SpringServe,Mexico,las tontas no van al cielo,14700640,tt1149586,tvSeries,"Comedy,Romance",A,telenovela,Not Available,serie,imdb,las tontas no van al cielo,,
iion Pty Ltd,Colombia,forest frenzy of boonie bears season 4,14110320,,,,,,Not Available,serie,titulo,forest frenzy of boonie bears,4,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,perdona nuestros pecados,12722880,tt6645602,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,perdona nuestros pecados,,
iion Pty Ltd,Mexico,the baddest bad boy,10769120,tt13840630,tvMiniSeries,Comedy,A,,Not Available,serie,imdb,the baddest bad boy,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,un gancho al corazon,10694240,tt1285297,tvSeries,"Comedy,Drama,Romance",A,telenovela,Not Available,serie,imdb,un gancho al corazon,,
Televisa Univision via SpringServe,Mexico,soy tu duena,8998400,tt1630269,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,soy tu duena,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,las hijas de la senora garcia,7582720,tt32872848,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,las hijas de la senora garcia,,
Televisa Univision via SpringServe,Mexico,dos mujeres un camino,7303200,tt0222547,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,dos mujeres un camino,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,maria de todos los angeles,5141040,tt1487513,tvSeries,Comedy,A,,Not Available,serie,imdb,maria de todos los angeles,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,nosotros los guapos,5077120,tt7112114,tvSeries,Comedy,A,,Not Available,serie,imdb,nosotros los guapos,,
METAX SOFTWARE PTE. LTD.,Paraguay,the explorers,4385120,tt0315003,tvMiniSeries,Documentary,B,,Not Available,serie,imdb,the explorers,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,atrevete a sonar,3773600,tt1364356,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,atrevete a sonar,,
iion Pty Ltd,Mexico,the adventures of danny & the dingo,2999200,tt1302810,tvSeries,Sport,A,,Not Available,serie,imdb,the adventures of danny & the dingo,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,tres veces ana,2640320,tt5378734,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,tres veces ana,,
Vidaa,Mexico,muchachitas,2484400,tt0191705,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,muchachitas,,
Vidaa,Mexico,simplemente maria,2232080,tt0211866,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,simplemente maria,,
Vidaa,Mexico,el renacer de luna,2207360,tt40588864,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,el renacer de luna,,
