Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,lo que la vida me robo,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt3223004,tvSeries,"Drama,Romance",A,coincide,,817498720,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,mi corazon es tuyo,Comedy,[IAB12],News,externa,contradice,vertical:noticias,tt3825904,tvSeries,"Comedy,Romance",A,coincide,,424260320,"[646, 642]",Television > Comedy TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,amores verdaderos,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt2320524,tvSeries,"Drama,Romance",A,coincide,,366521600,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,rubi 2005,Drama,[IAB12],News,interna,contradice,vertical:noticias,,,,,no_comparable,,356799680,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],1,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la fea mas bella,Comedy,[IAB12],News,externa,contradice,vertical:noticias,tt0497152,tvSeries,"Comedy,Drama,Romance",A,coincide,,349165280,"[646, 647, 642]",Television > Comedy TV | Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Roku - oRTB,Mexico,Not Applicable,Adventure,"[IAB1-5, IAB1-7, IAB11, IAB12]","Movies | Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,336584320,[325],Movies > Action and Adventure Movies,[IAB1],2,2,interna,
Roku - oRTB,Mexico,roku,Action,"[IAB1-5, IAB1-7, IAB11, IAB12]","Movies | Television | Law, Gov't & Politics | News",interna,contradice,vertical:noticias;vertical:politica,,,,,no_comparable,,271983840,[325],Movies > Action and Adventure Movies,[IAB1],2,2,interna,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,corazon indomable,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0108451,movie,"Drama,Romance",B,coincide,,203727840,"[333, 326, 330]",Movies > Drama Movies | Movies > Romance Movies | Movies > Comedy Movies,[IAB1-5],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la rosa de guadalupe,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt1192302,tvSeries,Drama,A,coincide,,199421920,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,soy tu duena,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt1630269,tvSeries,"Drama,Romance",B,coincide,,175294560,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
