Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
TCL ADS - Springserve,Argentina,chicken stew season 6,Anime,[IAB1-7],Television,externa,coincide,,tt3356808,tvSeries,"Action,Animation,Comedy",A,coincide,,251804400,"[641, 646]",Television > Animation TV | Television > Comedy TV,[IAB1-7],2,3,externa,titulo
Televisa Univision via SpringServe,Mexico,fuego en la sangre,Drama,[IAB1-5],Movies,externa,compatible,generico,tt0117005,video,Drama,B,coincide,,84641280,[333],Movies > Drama Movies,[IAB1-5],2,3,externa,declarado
Roku - oRTB,Mexico,roku,Drama,"[IAB1-5, IAB1-7]",Movies | Television,interna,compatible,forma_ambigua,,,,,no_comparable,,67688320,,,,2,2,interna,
OTTera.tv,Argentina,supertoons,Family,[IAB1-7],Television,interna,compatible,generico,,,,,no_comparable,,56329200,[645],Television > Children's TV,[IAB1-7],2,3,interna,declarado
iion Pty Ltd,Argentina,the garfield show,Anime,[IAB1],Arts & Entertainment,interna,compatible,generico,tt1470837,tvSeries,"Adventure,Animation,Comedy",C,no_comparable,,34362240,"[329, 641]",Movies > Animation Movies | Television > Animation TV,[IAB1],1,2,interna,
OTTera.tv,Mexico,tennis+,Sports,[IAB1-22],Arts & Entertainment (tier 2 inexistente),externa,compatible,generico,tt2281489,short,"Comedy,Drama,Sci-Fi",B,sin_genero_declarado,vertical,29628480,"[646, 647, 652]",Television > Comedy TV | Television > Drama TV | Television > Science Fiction TV,[IAB1-7],1,3,externa,contentSeries
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,las estrellas,Not Applicable,,,,,,,,,,no_comparable,,21434240,,,[IAB1],0,0,ninguna,
OTTera.tv,Chile,gatchaman crowds,Anime,[IAB1-22],Arts & Entertainment (tier 2 inexistente),externa,compatible,generico,tt2959370,tvSeries,"Action,Adventure,Animation",A,coincide,,19022640,[641],Television > Animation TV,[IAB1-7],1,3,externa,imdb
Select Plus PTE LTD (CTV),Mexico,brooklyn love stories,Romance,[IAB1-5],Movies,externa,coincide,,tt7038246,movie,"Drama,Romance",A,coincide,,14727200,"[333, 326]",Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
"Coocaa, a SKYWORTH company",Argentina,recreio do jacarelvis,Children,[IAB4-10],U.S. Military,interna,compatible,generico,,,,,no_comparable,,12221920,[645],Television > Children's TV,[IAB1-7],1,3,interna,contentSeries
