Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentGenre,gen_declarados,gen_detalle,gen_propuesta
OTTera.tv,Argentina,a royal christmas on ice,117437280,tt19408396,tvMovie,"Comedy,Drama,Romance",A,,Documentary,documental,"documental!=comedia,drama,romance","comedia,drama,romance"
OTTera.tv,Colombia,dino the dinosaur season 1,100435680,tt7818384,tvSeries,"Animation,Family",A,,Adventure,aventura,"accion-aventura!=animacion,infantil-familia","animacion,infantil-familia"
OTTera.tv,Mexico,penance lane,55113120,tt1964995,movie,Horror,A,,Drama,drama,drama!=terror,terror
OTTera.tv,Mexico,rollers: trailer,54853280,tt9124868,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Argentina,formentera,54841440,tt1990232,movie,Drama,A,,Documentary,documental,documental!=drama,drama
OTTera.tv,Argentina,the secret handshake,39057600,tt3519936,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,tennis+,29628480,tt2281489,short,"Comedy,Drama,Sci-Fi",B,,Sports,deportes,"deportes!=comedia,drama,sci-fi","comedia,drama,sci-fi"
OTTera.tv,Mexico,lost in the maze,21163040,tt29602142,movie,Documentary,A,,Adventure,aventura,accion-aventura!=documental,documental
OTTera.tv,Mexico,the buddy cop,20638560,tt20412912,movie,Comedy,A,,Action,accion,accion-aventura!=comedia,comedia
TCL ADS - Springserve,Argentina,machotaildrop,15272640,tt1315388,movie,"Action,Comedy,Fantasy",A,,Sports,deportes,"deportes!=accion-aventura,comedia,fantasia","accion,comedia,fantasia"
OTTera.tv,Peru,crack,15078480,tt4424356,short,"Comedy,Crime,Drama",B,,Documentary,documental,"documental!=comedia,crimen-misterio,drama","comedia,crimen,drama"
"Coocaa, a SKYWORTH company",Argentina,for my man,12165120,tt4864850,tvSeries,Crime,B,,Documentary,documental,documental!=crimen-misterio,crimen
"Coocaa, a SKYWORTH company",Argentina,adam jones,12163040,tt2503944,movie,"Comedy,Drama",A,,Sports,deportes,"deportes!=comedia,drama","comedia,drama"
"Coocaa, a SKYWORTH company",Argentina,the breakfast club,12149440,tt0088847,movie,"Comedy,Drama",B,infantil-familia,Reality,reality,"reality!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
"Coocaa, a SKYWORTH company",Argentina,beat monday,12132800,tt13584880,tvMiniSeries,Reality-TV,A,,Adventure,aventura,accion-aventura!=reality,reality
PML Digital,Chile,we three kings,8577440,tt13091334,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
LG Ads EMEA - SS,Mexico,entertainment,7965760,tt8005846,short,"Drama,Musical,Short",B,,Local News,noticias,"noticias!=drama,musica","drama,musica"
OTTera.tv,Mexico,grumpy grannies,7829440,tt19306948,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,displaced,7796160,tt14717664,short,"Drama,Short",B,documental,Family,infantil-familia,"infantil-familia!=documental,drama","drama,documental"
OTTera.tv,Mexico,stray,7758080,tt11905922,movie,Documentary,B,,Drama,drama,drama!=documental,documental
OTTera.tv,Mexico,7 years,7700960,tt5517438,movie,Drama,B,,Horror,terror,terror!=drama,drama
OTTera.tv,Mexico,friends only,7700000,tt15680876,movie,"Drama,Romance",A,,Family,infantil-familia,"infantil-familia!=drama,romance","drama,romance"
OTTera.tv,Mexico,countryside,7676640,tt26933627,movie,Drama,B,,Horror,terror,terror!=drama,drama
OTTera.tv,Mexico,disturbed,6929760,tt0089881,movie,"Action,Drama,War",B,,Horror,terror,"terror!=accion-aventura,drama","accion,drama"
OTTera.tv,Mexico,amityville: it's about time: trailer,6865760,tt0103678,video,Horror,A,,Action,accion,accion-aventura!=terror,terror
OTTera.tv,Mexico,sin's kitchen: trailer,6822720,tt0203912,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
"Coocaa, a SKYWORTH company",Argentina,meet the drapers season 8. episode 1,6820480,tt8300760,tvSeries,Reality-TV,A,,News,noticias,noticias!=reality,reality
"Coocaa, a SKYWORTH company",Argentina,shifting gears,6804800,tt31614348,tvSeries,Comedy,B,,Sports,deportes,deportes!=comedia,comedia
iion Pty Ltd,Mexico,rock band,6378080,tt2756040,movie,"Comedy,Music",B,,Drama,drama,"drama!=comedia,musica","comedia,musica"
iion Pty Ltd,Mexico,softness of bodies,6330080,tt6924682,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,craig's pathetic freakout,6170400,tt12115180,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,a story for happy,6169600,tt3884392,short,"Drama,Short",A,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Mexico,a reasonable request,6115040,tt4702552,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,brought to you by satan,6100160,tt10573278,short,"Comedy,Short",A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,bitter sky,6022400,tt11418166,short,"Drama,Short",A,,Adventure,aventura,accion-aventura!=drama,drama
OTTera.tv,Mexico,hot rod girls save the world,5770400,tt1399564,video,Sci-Fi,A,,Drama,drama,drama!=sci-fi,sci-fi
OTTera.tv,Mexico,grudge race,5732960,tt6291472,tvSeries,Reality-TV,A,,Action,accion,accion-aventura!=reality,reality
OTTera.tv,Mexico,duck camp dinners season 2,5719520,tt35146256,tvSeries,Reality-TV,A,,Adventure,aventura,accion-aventura!=reality,reality
OTTera.tv,Mexico,we're still together,5711520,tt3755228,movie,Drama,A,,Adventure,aventura,accion-aventura!=drama,drama
OTTera.tv,Mexico,should've put a ring on it,5599360,tt1941648,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,victory by submission,5598720,tt4624104,movie,"Drama,Sport",A,,Action,accion,"accion-aventura!=deportes,drama","drama,deportes"
OTTera.tv,Mexico,first impression,5595360,tt9203202,tvMovie,Comedy,B,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,worst roommate ever,5590880,tt5746464,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,chonda pierce: enough,5585280,tt6247064,movie,Documentary,A,,Comedy,comedia,comedia!=documental,documental
OTTera.tv,Mexico,only god can,5572160,tt3589144,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,bang or die,5566400,tt21926038,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Mexico,the bigfoot diaries,5514560,tt1478440,movie,"Comedy,Documentary",A,,Horror,terror,"terror!=comedia,documental","comedia,documental"
OTTera.tv,Mexico,13 score,4576000,tt3168890,movie,Horror,A,,Action,accion,accion-aventura!=terror,terror
OTTera.tv,Mexico,black snow,4286720,tt10515988,movie,"Horror,Mystery,Thriller",B,,Documentary,documental,"documental!=crimen-misterio,terror","terror,misterio"
OTTera.tv,Mexico,barking dogs,4203840,tt10443658,short,"Drama,Short",B,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Mexico,walk a mile in my pradas,4013920,tt1645187,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,heavenquest: a pilgrim's progress,4004000,tt5167200,movie,"Action,Adventure,Fantasy",A,,Drama,drama,"drama!=accion-aventura,fantasia","accion,fantasia"
OTTera.tv,Mexico,the golden voices,3969760,tt8920490,movie,Family,A,,Drama,drama,drama!=infantil-familia,infantil-familia
iion Pty Ltd,Colombia,juug gone wrong: trailer,3192000,tt9063470,movie,Drama,A,,Action,accion,accion-aventura!=drama,drama
OTTera.tv,Argentina,cult film,2678640,tt8982658,short,"Comedy,Drama,Short",A,,Documentary,documental,"documental!=comedia,drama","comedia,drama"
