Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,maria isabel,56566400,tt0211828,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,maria isabel,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,un refugio para el amor,27996480,tt2186523,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,un refugio para el amor,,
TCL ADs (APAC),Peru,los archivos del fbi temporada 2,16406160,,,,,,Not Available,serie,titulo,los archivos del fbi,2,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,por siempre joan sebastian,14739360,tt5518674,tvSeries,Drama,A,,Not Available,serie,imdb,por siempre joan sebastian,,
Vidaa,Mexico,amores verdaderos,12708080,tt2320524,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,amores verdaderos,,
iion Pty Ltd,Argentina,pilotos del ártico (ice pilots): temporada 3,12557520,,,,,,Not Available,serie,titulo,pilotos del ártico (ice pilots),3,
iion Pty Ltd,Argentina,freefonix season 1,10347680,tt0943642,tvSeries,"Animation,Family,Music",A,,Not Available,serie,titulo,freefonix,1,
Vidaa  APAC Hisense Headquarter,Mexico,maria la del barrio,8590320,tt0163464,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,maria la del barrio,,
iion Pty Ltd,Colombia,the baddest bad boy,8172320,tt13840630,tvMiniSeries,Comedy,A,,Not Available,serie,imdb,the baddest bad boy,,
iion Pty Ltd,Colombia,drive thru history season 4,7656240,tt1281983,tvSeries,"Documentary,Family,History",A,,Not Available,serie,titulo,drive thru history,4,
OTTera.tv,Argentina,babybus canciones infantiles - temporada 8,6968160,,,,,,Not Available,serie,titulo,babybus canciones infantiles,8,
Vidaa,Mexico,una familia de diez,5832960,tt0996011,tvSeries,"Comedy,Family,Romance",A,,Not Available,serie,imdb,una familia de diez,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la picara sonadora,5773120,tt44772778,tvSeries,"Comedy,Romance",B,,Not Available,serie,imdb,la picara sonadora,,
TCL ADs (APAC),Argentina,spot the difference: season 6,4835520,tt31289009,tvSpecial,Game-Show,D,,Not Available,serie,titulo,spot the difference,6,
TCL ADS - Springserve,Mexico,haus%20of%20horror,4011520,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus%20of%20horror,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,abrazame muy fuerte,3352640,tt0233092,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,abrazame muy fuerte,,
iion Pty Ltd,Mexico,duck camp dinners season 1,3306720,tt35146256,tvSeries,Reality-TV,A,,Not Available,serie,titulo,duck camp dinners,1,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,amar a muerte,2889120,tt8682608,tvSeries,Drama,A,telenovela,Not Available,serie,imdb,amar a muerte,,
iion Pty Ltd,Mexico,plant center,2401760,,,,,,Not Available,serie,intra_titulo,Plant Center,,
iion Pty Ltd,Mexico,pga tour,2376320,,,,,,Not Available,serie,intra_titulo,PGA TOUR,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,simon dice,2366720,tt8777518,tvSeries,Comedy,B,,Not Available,serie,imdb,simon dice,,
PML Digital,Chile,scarred,2175520,tt2983900,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,scarred,,
Televisa Univision via SpringServe,Mexico,lo que la vida me robo,2171520,tt3223004,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,lo que la vida me robo,,
TCL ADs (APAC),Colombia,chronic horror,2000160,tt13415674,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,chronic horror,,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,maria isabel,1682400,tt0211828,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,maria isabel,,
TCL ADS - Springserve,Mexico,dragracing,1623040,,,,,,Not Available,serie,intra_titulo,dragracing,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,cabo,1496000,tt21239248,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,cabo,,
TCL ADS - Springserve,Argentina,haus of horror,1434720,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
PML Digital,Argentina,northwest passage: trailer,1363520,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
Select Plus PTE LTD (CTV),Mexico,melody,1310240,tt25437934,tvSeries,"Comedy,Drama,Musical",B,,Not Available,serie,imdb,melody,,
TCL ADS - Springserve,Mexico,dread the unsolved,1199360,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
iion Pty Ltd,Argentina,overwatch 2 - official season 16: stadium trailer,1198880,,,,,,Not Available,serie,titulo,overwatch 2 - official,16,
OTTera.tv,Argentina,haus%20of%20horror,1151840,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus%20of%20horror,,
Vidaa,Mexico,no soy un robot,1118560,tt7521778,tvSeries,"Comedy,Romance,Sci-Fi",B,,Not Available,serie,imdb,no soy un robot,,
iion Pty Ltd,Chile,northwest passage,923680,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
Select Plus PTE LTD (CTV),Mexico,melody,898720,tt25437934,tvSeries,"Comedy,Drama,Musical",B,,Not Available,serie,imdb,melody,,
Vidaa,Mexico,te doy la vida,892720,tt11404582,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,te doy la vida,,
TCL ADs (APAC),Mexico,thrillbillies,885440,tt1500999,tvSeries,Sport,B,,Not Available,serie,imdb,thrillbillies,,
iion Pty Ltd,Colombia,kelsi davies: season 1,884400,,,,,,Not Available,serie,titulo,kelsi davies,1,
iion Pty Ltd,Chile,northwest passage: trailer,848800,tt0051299,tvSeries,"Adventure,Drama,Western",B,,Not Available,serie,imdb,northwest passage,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,telehit,844000,tt0471063,tvSeries,Music,A,,Not Available,serie,imdb,telehit,,
iion Pty Ltd,Mexico,un caso para dos s06,840480,tt0081860,tvSeries,"Crime,Thriller",B,,Not Available,serie,imdb,un caso para dos,6,
OTTera.tv,Mexico,andor: season 2 - official stealing the tie fighter clip,821280,tt9253284,tvSeries,"Adventure,Drama,Fantasy",D,,Not Available,serie,titulo,andor,2,
TCL ADS - Springserve,Chile,scarred,819520,tt2983900,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,scarred,,
Televisa Univision via SpringServe,Mexico,como dice el dicho,793920,tt1831897,tvSeries,"Comedy,Drama",A,telenovela,Not Available,serie,imdb,como dice el dicho,,
Televisa Univision via SpringServe,Mexico,sortilegio,773600,tt1439031,tvSeries,"Drama,Romance",B,telenovela,Not Available,serie,imdb,sortilegio,,
OTTera.tv,Ecuador,chronic%20horror,767200,tt13415674,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,chronic%20horror,,
OTTera.tv,Venezuela,día cero,737920,tt23872886,tvMiniSeries,"Drama,Thriller",B,,Not Available,serie,imdb,día cero,,
OTTera.tv,Chile,haus of horror,737280,tt13840526,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,haus of horror,,
TCL ADS - Springserve,Argentina,chronic%20horror,704640,tt13415674,tvMiniSeries,"Comedy,Horror",A,,Not Available,serie,imdb,chronic%20horror,,
iion Pty Ltd,Mexico,evidencias del crimen: temporada 5,696800,,,,,,Not Available,serie,titulo,evidencias del crimen,5,
iion Pty Ltd,Mexico,do not disturb: lady boss in disguise!,683040,tt32332033,tvMiniSeries,Romance,A,,Not Available,serie,imdb,do not disturb: lady boss in disguise!,,
TCL ADs (APAC),Mexico,the 808,674080,tt1090816,tvSeries,Reality-TV,A,,Not Available,serie,imdb,the 808,,
iion Pty Ltd,Argentina,chicken stew season 7,648960,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,7,
TCL ADs (APAC),Mexico,dread the unsolved,634560,tt13415912,tvMiniSeries,"Horror,Mystery",A,,Not Available,serie,imdb,dread the unsolved,,
iion Pty Ltd,Peru,starhyke,608960,tt1520150,tvSeries,"Comedy,Sci-Fi",A,,Not Available,serie,imdb,starhyke,,
Televisa Univision via SpringServe,Mexico,yo no creo en los hombres,605280,tt3980946,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,yo no creo en los hombres,,
iion Pty Ltd,Colombia,duck camp dinners season 2,600960,tt35146256,tvSeries,Reality-TV,A,,Not Available,serie,titulo,duck camp dinners,2,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,cabo,595360,tt21239248,tvSeries,Drama,B,telenovela,Not Available,serie,imdb,cabo,,
PML Digital,Chile,super abby season 1,590240,,,,,,Not Available,serie,titulo,super abby,1,
TCL ADS - Springserve,Mexico,forest frenzy of boonie bears season 2,589120,,,,,,Not Available,serie,titulo,forest frenzy of boonie bears,2,
iion Pty Ltd,Peru,rider,588480,tt4215810,movie,Thriller,D,,Not Available,serie,intra_titulo,rider,,
