Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentGenre_relleno,gen_declarados,gen_detalle,gen_propuesta
OTTera.tv,Argentina,a royal christmas on ice,130371120,tt19408396,tvMovie,"Comedy,Drama,Romance",A,,Documentary,documental,"documental!=comedia,drama,romance","comedia,drama,romance"
OTTera.tv,Colombia,dino the dinosaur season 1,127086960,tt7818384,tvSeries,"Animation,Family",A,,Adventure,aventura,"accion-aventura!=animacion,infantil-familia","animacion,infantil-familia"
OTTera.tv,Mexico,penance lane,58162560,tt1964995,movie,Horror,A,,Drama,drama,drama!=terror,terror
OTTera.tv,Mexico,rollers: trailer,57394240,tt9124868,movie,Comedy,B,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Argentina,formentera,44238720,tt1990232,movie,Drama,A,,Documentary,documental,documental!=drama,drama
OTTera.tv,Mexico,tennis+,36464880,tt2281489,short,"Comedy,Drama,Sci-Fi",B,,Sports,deportes,"deportes!=comedia,drama,sci-fi","comedia,drama,sci-fi"
OTTera.tv,Argentina,the secret handshake,27505440,tt3519936,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,lost in the maze,22344480,tt29602142,movie,Documentary,A,,Adventure,aventura,accion-aventura!=documental,documental
OTTera.tv,Mexico,the buddy cop,21477600,tt20412912,movie,Comedy,A,,Action,accion,accion-aventura!=comedia,comedia
TCL ADS - Springserve,Argentina,machotaildrop,15272640,tt1315388,movie,"Action,Comedy,Fantasy",A,,Sports,deportes,"deportes!=accion-aventura,comedia,fantasia","accion,comedia,fantasia"
OTTera.tv,Peru,crack,11817840,tt4424356,short,"Comedy,Crime,Drama",B,,Documentary,documental,"documental!=comedia,crimen-misterio,drama","comedia,crimen,drama"
"Coocaa, a SKYWORTH company",Argentina,adam jones,11748320,tt2503944,movie,"Comedy,Drama",A,,Sports,deportes,"deportes!=comedia,drama","comedia,drama"
"Coocaa, a SKYWORTH company",Argentina,for my man,11725920,tt4864850,tvSeries,Crime,B,,Documentary,documental,documental!=crimen-misterio,crimen
"Coocaa, a SKYWORTH company",Argentina,the breakfast club,11720960,tt0088847,movie,"Comedy,Drama",B,infantil-familia,Reality,reality,"reality!=comedia,drama,infantil-familia","comedia,drama,infantil-familia"
"Coocaa, a SKYWORTH company",Argentina,beat monday,11703520,tt13584880,tvMiniSeries,Reality-TV,A,,Adventure,aventura,accion-aventura!=reality,reality
PML Digital,Chile,we three kings,9978240,tt13091334,movie,Family,B,,Drama,drama,drama!=infantil-familia,infantil-familia
OTTera.tv,Mexico,countryside,8495360,tt26933627,movie,Drama,B,,Horror,terror,terror!=drama,drama
OTTera.tv,Mexico,displaced,8227680,tt14717664,short,"Drama,Short",B,documental,Family,infantil-familia,"infantil-familia!=documental,drama","drama,documental"
OTTera.tv,Mexico,grumpy grannies,8225280,tt19306948,movie,Comedy,A,,Drama,drama,drama!=comedia,comedia
OTTera.tv,Mexico,stray,8181120,tt11905922,movie,Documentary,B,,Drama,drama,drama!=documental,documental
