Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_detalle,ser_es,serie_propuesta
Vidaa,Mexico,jajaja,32057840,tt1452626,movie,"Comedy,Drama,Romance",A,,JAJAJA,IMDb movie Hahaha (tt1452626),serie,
TCL ADS - Springserve,Argentina,tour du faso,8699840,tt3502760,movie,Documentary,A,,Tour du Faso,IMDb movie Tour du Faso (tt3502760),pelicula,
"Coocaa, a SKYWORTH company",Argentina,surfing favela,8015680,tt0949774,movie,Documentary,A,,Action Documentaries,IMDb movie Surfing favela (tt0949774),pelicula,
"Coocaa, a SKYWORTH company",Argentina,adam jones,7962240,tt2503944,movie,"Comedy,Drama",A,,FMX Stars,IMDb movie Burnt (tt2503944),serie,
"Coocaa, a SKYWORTH company",Argentina,news,5945760,tt1604683,movie,"Crime,Documentary,News",B,,Euronews News,IMDb movie News (tt1604683),serie,
AWG Media,Mexico,santo en el museo de cera,1993520,tt0057471,movie,"Action,Horror,Mystery",A,,Modern Marvels,IMDb movie Santo in the Wax Museum (tt0057471),pelicula,
AWG Media,Mexico,una rosa sobre el ring,1779440,tt0323837,movie,"Action,Drama,Romance",A,,Modern Marvels,IMDb movie Una rosa sobre el ring (tt0323837),pelicula,
AWG Media,Mexico,guitarras lloren guitarras,1146560,tt0280716,movie,"Comedy,Drama,Musical",A,,Cold Case Files Classic,IMDb movie Guitarras lloren guitarras (tt0280716),pelicula,
Kivi via Springserve,Mexico,cuento de otoño,1115600,tt0137439,movie,"Comedy,Drama,Romance",A,,Cuento de Otoño,IMDb movie Autumn Tale (tt0137439),serie,
AWG Media,Mexico,death fighter,756960,tt3724490,movie,Action,B,,time2Rlx - Wildlife,IMDb movie Death Fighter (tt3724490),pelicula,
FreeTV via Springserve,Mexico,72 horas,736720,tt1458175,movie,"Action,Crime,Drama",B,,La Cacería,IMDb movie The Next Three Days (tt1458175),pelicula,
AWG Media,Mexico,asalto bancario,500800,tt0393056,movie,Action,A,,Investigative Reports,IMDb movie Asalto bancario (tt0393056),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,dos tenorios de barrio,450320,tt0176665,movie,"Comedy,Romance",A,,burden of truth,IMDb movie Dos tenorios de barrio (tt0176665),pelicula,
OTTera.tv,Argentina,origine inconnue,410640,tt4575328,movie,"Action,Sci-Fi,Thriller",A,,Origine Inconnue,IMDb movie 2036 Origin Unknown (tt4575328),serie,
